ID,X,Y,c,n1,n2,u1,u2,inUse,Joint,midJoint
101,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
102,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
103,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
104,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
105,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
106,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
107,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
108,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
109,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
110,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
111,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
112,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
113,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
114,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
115,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
116,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
117,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
118,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
119,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
120,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
121,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
122,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
123,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
124,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
125,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
126,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
127,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
128,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
129,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
130,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
131,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
132,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
133,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
134,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
135,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
136,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
137,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
138,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
139,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
140,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
141,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
142,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
143,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
144,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
145,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
146,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
147,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
148,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
149,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
150,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
151,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
152,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
153,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
154,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
155,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
156,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
157,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
158,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
159,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
160,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
161,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
162,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
163,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
164,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
165,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
166,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
167,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
168,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
169,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
170,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
171,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
172,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
173,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
174,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
175,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
176,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
177,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
178,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
179,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
180,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
181,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
182,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
183,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
184,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
185,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
186,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
187,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
188,-1.0,-1.0,0,-1,-1,-1,-1,false,false,false
